frame,timestamp,expressions
1, 0,Happiness
2, 0.0333333,None
3, 0.0666667,None
4, 0.1,None
5, 0.133333,None
6, 0.166667,None
7, 0.2,None
8, 0.233333,Disgust
9, 0.266667,Disgust
10, 0.3,Disgust
11, 0.333333,Disgust
12, 0.366667,None
13, 0.4,None
14, 0.433333,None
15, 0.466667,None
16, 0.5,None
17, 0.533333,None
18, 0.566667,Disgust
19, 0.6,None
20, 0.633333,None
21, 0.666667,None
22, 0.7,None
23, 0.733333,None
24, 0.766667,None
25, 0.8,None
26, 0.833333,None
27, 0.866667,None
28, 0.9,None
29, 0.933333,None
30, 0.966667,None
31, 1,None
32, 1.03333,None
33, 1.06667,None
34, 1.1,Disgust
35, 1.13333,None
36, 1.16667,None
37, 1.2,None
38, 1.23333,None
39, 1.26667,None
40, 1.3,None
41, 1.33333,None
42, 1.36667,None
43, 1.4,None
44, 1.43333,None
45, 1.46667,None
46, 1.5,None
47, 1.53333,None
48, 1.56667,None
49, 1.6,Surprise
50, 1.63333,None
51, 1.66667,None
52, 1.7,None
53, 1.73333,None
54, 1.76667,None
55, 1.8,None
56, 1.83333,None
57, 1.86667,None
58, 1.9,None
59, 1.93333,None
60, 1.96667,None
61, 2,None
62, 2.03333,None
63, 2.06667,None
64, 2.1,None
65, 2.13333,Disgust
66, 2.16667,None
67, 2.2,None
68, 2.23333,None
69, 2.26667,None
70, 2.3,None
71, 2.33333,None
72, 2.36667,None
73, 2.4,None
74, 2.43333,None
75, 2.46667,None
76, 2.5,None
77, 2.53333,Disgust
78, 2.56667,None
79, 2.6,None
80, 2.63333,None
81, 2.66667,None
82, 2.7,None
83, 2.73333,None
84, 2.76667,None
85, 2.8,None
86, 2.83333,None
87, 2.86667,None
88, 2.9,None
89, 2.93333,None
90, 2.96667,Fear
91, 3,None
92, 3.03333,None
93, 3.06667,None
94, 3.1,None
95, 3.13333,None
96, 3.16667,None
97, 3.2,None
98, 3.23333,None
99, 3.26667,None
100, 3.3,None
101, 3.33333,None
102, 3.36667,None
103, 3.4,None
104, 3.43333,None
105, 3.46667,None
106, 3.5,None
107, 3.53333,None
108, 3.56667,None
109, 3.6,None
110, 3.63333,None
111, 3.66667,None
112, 3.7,None
113, 3.73333,None
114, 3.76667,None
115, 3.8,None
116, 3.83333,None
117, 3.86667,None
118, 3.9,None
119, 3.93333,None
120, 3.96667,None
121, 4,None
122, 4.03333,None
123, 4.06667,None
124, 4.1,None
125, 4.13333,None
126, 4.16667,None
127, 4.2,None
128, 4.23333,None
129, 4.26667,None
130, 4.3,None
131, 4.33333,None
132, 4.36667,None
133, 4.4,None
134, 4.43333,None
135, 4.46667,None
136, 4.5,None
137, 4.53333,None
138, 4.56667,None
139, 4.6,None
140, 4.63333,None
141, 4.66667,None
142, 4.7,None
143, 4.73333,None
144, 4.76667,None
145, 4.8,None
146, 4.83333,None
147, 4.86667,None
148, 4.9,None
149, 4.93333,None
150, 4.96667,None
151, 5,None
152, 5.03333,None
153, 5.06667,None
154, 5.1,None
155, 5.13333,None
156, 5.16667,None
157, 5.2,None
158, 5.23333,None
159, 5.26667,None
160, 5.3,None
161, 5.33333,None
162, 5.36667,None
163, 5.4,None
164, 5.43333,None
165, 5.46667,None
166, 5.5,None
167, 5.53333,None
168, 5.56667,None
169, 5.6,None
170, 5.63333,None
171, 5.66667,None
172, 5.7,None
173, 5.73333,None
174, 5.76667,None
175, 5.8,None
176, 5.83333,None
177, 5.86667,None
178, 5.9,None
179, 5.93333,None
180, 5.96667,None
181, 6,Surprise
182, 6.03333,None
183, 6.06667,None
184, 6.1,None
185, 6.13333,None
186, 6.16667,None
187, 6.2,None
188, 6.23333,None
189, 6.26667,None
190, 6.3,None
191, 6.33333,None
192, 6.36667,None
193, 6.4,None
194, 6.43333,None
195, 6.46667,None
196, 6.5,None
197, 6.53333,None
198, 6.56667,None
199, 6.6,None
200, 6.63333,None
201, 6.66667,None
202, 6.7,None
203, 6.73333,None
204, 6.76667,None
205, 6.8,None
206, 6.83333,None
207, 6.86667,None
208, 6.9,None
209, 6.93333,None
210, 6.96667,None
211, 7,None
212, 7.03333,None
213, 7.06667,None
214, 7.1,None
215, 7.13333,None
216, 7.16667,None
217, 7.2,None
218, 7.23333,None
219, 7.26667,None
220, 7.3,None
221, 7.33333,None
222, 7.36667,None
223, 7.4,None
224, 7.43333,None
225, 7.46667,None
226, 7.5,None
227, 7.53333,None
228, 7.56667,None
229, 7.6,None
230, 7.63333,None
231, 7.66667,None
232, 7.7,None
233, 7.73333,None
234, 7.76667,None
235, 7.8,None
236, 7.83333,None
237, 7.86667,None
238, 7.9,None
239, 7.93333,None
240, 7.96667,None
241, 8,None
242, 8.03333,None
243, 8.06667,None
244, 8.1,None
245, 8.13333,"Sadness, Disgust"
246, 8.16667,None
247, 8.2,None
248, 8.23333,None
249, 8.26667,None
250, 8.3,None
251, 8.33333,None
252, 8.36667,None
253, 8.4,None
254, 8.43333,None
255, 8.46667,None
256, 8.5,None
257, 8.53333,None
258, 8.56667,None
259, 8.6,None
260, 8.63333,None
261, 8.66667,None
262, 8.7,None
263, 8.73333,None
264, 8.76667,None
265, 8.8,None
